"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","060010011","1","2.1","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/02/2021","AQS","060010011","1","0.2","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/03/2021","AQS","060010011","1","0.4","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/04/2021","AQS","060010011","1","0.3","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/05/2021","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/06/2021","AQS","060010011","1","0.8","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/07/2021","AQS","060010011","1","0.7","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/08/2021","AQS","060010011","1","0.6","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/09/2021","AQS","060010011","1","1.2","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/10/2021","AQS","060010011","1","0.9","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/11/2021","AQS","060010011","1","0.9","ppb","0","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/12/2021","AQS","060010011","1","1.3","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/13/2021","AQS","060010011","1","1.3","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/14/2021","AQS","060010011","1","1.7","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/15/2021","AQS","060010011","1","2.6","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/16/2021","AQS","060010011","1","2","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/17/2021","AQS","060010011","1","1.5","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/18/2021","AQS","060010011","1","1","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/19/2021","AQS","060010011","1","1","ppb","1","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
"01/20/2021","AQS","060010011","1","2.9","ppb","3","Oakland West","22","92.0000","42401","Sulfur dioxide","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.814781","-122.282347"
