"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","480271047","1","16.3","ppb","15","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/02/2020","AQS","480271047","1","12.2","ppb","11","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/03/2020","AQS","480271047","1","7.1","ppb","7","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/04/2020","AQS","480271047","1","12.5","ppb","11","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/05/2020","AQS","480271047","1","7.2","ppb","7","Killeen Skylark Field","19","79.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/06/2020","AQS","480271047","1","17.4","ppb","16","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/07/2020","AQS","480271047","1","14.7","ppb","13","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/08/2020","AQS","480271047","1","19.4","ppb","18","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/09/2020","AQS","480271047","1","5.5","ppb","5","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/10/2020","AQS","480271047","1","2.6","ppb","2","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/11/2020","AQS","480271047","1","7.9","ppb","7","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/12/2020","AQS","480271047","1","6.4","ppb","6","Killeen Skylark Field","20","83.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/13/2020","AQS","480271047","1","10.3","ppb","9","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/14/2020","AQS","480271047","1","8.6","ppb","8","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/15/2020","AQS","480271047","1","6.6","ppb","6","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/16/2020","AQS","480271047","1","6.6","ppb","6","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/17/2020","AQS","480271047","1","7.9","ppb","7","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/18/2020","AQS","480271047","1","4","ppb","4","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/19/2020","AQS","480271047","1","6.5","ppb","6","Killeen Skylark Field","19","79.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/20/2020","AQS","480271047","1","19.5","ppb","18","Killeen Skylark Field","20","83.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/21/2020","AQS","480271047","1","18.7","ppb","17","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/22/2020","AQS","480271047","1","11.1","ppb","10","Killeen Skylark Field","22","92.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
