"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2021","AQS","480290060","1","31","ug/m3 SC","29","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/10/2021","AQS","480290060","1","6","ug/m3 SC","6","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/16/2021","AQS","480290060","1","53","ug/m3 SC","49","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/22/2021","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"01/28/2021","AQS","480290060","1","19","ug/m3 SC","18","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/03/2021","AQS","480290060","1","24","ug/m3 SC","22","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/09/2021","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/15/2021","AQS","480290060","1","9","ug/m3 SC","8","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/21/2021","AQS","480290060","1","27","ug/m3 SC","25","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"02/27/2021","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/05/2021","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/11/2021","AQS","480290060","1","22","ug/m3 SC","20","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/17/2021","AQS","480290060","1","87","ug/m3 SC","67","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/23/2021","AQS","480290060","1","87","ug/m3 SC","67","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"03/29/2021","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/04/2021","AQS","480290060","1","14","ug/m3 SC","13","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/10/2021","AQS","480290060","1","31","ug/m3 SC","29","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/16/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/22/2021","AQS","480290060","1","23","ug/m3 SC","21","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"04/28/2021","AQS","480290060","1","32","ug/m3 SC","30","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/04/2021","AQS","480290060","1","18","ug/m3 SC","17","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/10/2021","AQS","480290060","1","25","ug/m3 SC","23","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/16/2021","AQS","480290060","1","7","ug/m3 SC","6","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/22/2021","AQS","480290060","1","11","ug/m3 SC","10","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"05/28/2021","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/03/2021","AQS","480290060","1","10","ug/m3 SC","9","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/09/2021","AQS","480290060","1","22","ug/m3 SC","20","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/15/2021","AQS","480290060","1","26","ug/m3 SC","24","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/21/2021","AQS","480290060","1","32","ug/m3 SC","30","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"06/27/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/03/2021","AQS","480290060","1","13","ug/m3 SC","12","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/09/2021","AQS","480290060","1","9","ug/m3 SC","8","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/15/2021","AQS","480290060","1","26","ug/m3 SC","24","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/21/2021","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"07/27/2021","AQS","480290060","1","38","ug/m3 SC","35","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/02/2021","AQS","480290060","1","16","ug/m3 SC","15","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
"08/08/2021","AQS","480290060","1","21","ug/m3 SC","19","Frank Wing Municipal Court","1","100.0000","81102","PM10 Total 0-10um STP","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.422194","-98.505419"
