"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/08/2020","AQS","480290059","1","0.4","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/09/2020","AQS","480290059","1","0.4","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/10/2020","AQS","480290059","1","0.4","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/11/2020","AQS","480290059","1","0.2","ppb","0","Calaveras Lake","20","83.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/12/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/13/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/14/2020","AQS","480290059","1","0.6","ppb","0","Calaveras Lake","22","92.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/15/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/16/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/17/2020","AQS","480290059","1","-0.1","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/18/2020","AQS","480290059","1","0","ppb","0","Calaveras Lake","22","92.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/19/2020","AQS","480290059","1","0.2","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
"01/20/2020","AQS","480290059","1","0.3","ppb","0","Calaveras Lake","24","100.0000","42401","Sulfur dioxide","41700","San Antonio-New Braunfels, TX","48","Texas","029","Bexar","29.275381","-98.311692"
