"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2022","AQS","480271047","1","1.9","ppb","1","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/02/2022","AQS","480271047","1","7.9","ppb","7","Killeen Skylark Field","19","79.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/03/2022","AQS","480271047","1","14.4","ppb","13","Killeen Skylark Field","18","75.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/04/2022","AQS","480271047","1","10.8","ppb","9","Killeen Skylark Field","22","92.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/05/2022","AQS","480271047","1","21.4","ppb","20","Killeen Skylark Field","22","92.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/06/2022","AQS","480271047","1","12.3","ppb","11","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/07/2022","AQS","480271047","1","6.6","ppb","6","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/08/2022","AQS","480271047","1","6.6","ppb","6","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/09/2022","AQS","480271047","1","2.6","ppb","2","Killeen Skylark Field","20","83.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/10/2022","AQS","480271047","1","13.9","ppb","12","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/11/2022","AQS","480271047","1","15.4","ppb","14","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/13/2022","AQS","480271047","1","29.6","ppb","27","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/14/2022","AQS","480271047","1","24.1","ppb","23","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/15/2022","AQS","480271047","1","2.3","ppb","2","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/16/2022","AQS","480271047","1","20","ppb","19","Killeen Skylark Field","19","79.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/17/2022","AQS","480271047","1","17.7","ppb","16","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/18/2022","AQS","480271047","1","7","ppb","7","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/19/2022","AQS","480271047","1","7.2","ppb","7","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/20/2022","AQS","480271047","1","4.7","ppb","4","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
"01/21/2022","AQS","480271047","1","10.4","ppb","9","Killeen Skylark Field","24","100.0000","42602","Nitrogen dioxide (NO2)","28660","Killeen-Temple, TX","48","Texas","027","Bell","31.088002","-97.679734"
