"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/04/2021","AQS","060070008","7","0.00153","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/18/2021","AQS","060070008","7","0.00393","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/28/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/10/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"05/22/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/03/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/15/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/27/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/11/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"07/21/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/02/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/14/2021","AQS","060070008","7","0.00165","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"08/26/2021","AQS","060070008","7","0.00192","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/07/2021","AQS","060070008","7","0.00213","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"09/19/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/04/2021","AQS","060070008","7","0.00174","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/13/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"10/25/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/08/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/18/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"11/30/2021","AQS","060070008","7","0.00216","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/12/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"12/26/2021","AQS","060070008","7","0.00065","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"04/04/2021","AQS","060190011","7","0.00147","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/13/2021","AQS","060190011","7","0.00311","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/25/2021","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/10/2021","AQS","060190011","7","0.00203","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/22/2021","AQS","060190011","7","0.0021","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/03/2021","AQS","060190011","7","0.00204","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/15/2021","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/27/2021","AQS","060190011","7","0.00374","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/09/2021","AQS","060190011","7","0.0026","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/21/2021","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/02/2021","AQS","060190011","7","0.00221","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/14/2021","AQS","060190011","7","0.00273","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"08/26/2021","AQS","060190011","7","0.00216","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/07/2021","AQS","060190011","7","0.00447","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"09/19/2021","AQS","060190011","7","0.00065","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/01/2021","AQS","060190011","7","0.00677","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"10/13/2021","AQS","060190011","7","0.00357","ug/m3 SC",".","Fresno - Garland","1","100.0000","12128","Lead (TSP) STP","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/04/2021","AQS","060250005","7","0.00065","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"04/16/2021","AQS","060250005","7","0.00317","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"04/28/2021","AQS","060250005","7","0.00163","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/10/2021","AQS","060250005","7","0.00219","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"05/22/2021","AQS","060250005","7","0.0018","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/03/2021","AQS","060250005","7","0.0148","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/15/2021","AQS","060250005","7","0.012","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
"06/27/2021","AQS","060250005","7","0.013","ug/m3 SC",".","Calexico-Ethel Street","1","100.0000","12128","Lead (TSP) STP","20940","El Centro, CA","06","California","025","Imperial","32.67618","-115.48307"
