"",country,year,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov
0,Argentina,2020,43.0,10.472179,9.000000,66.0,68.267347,44.000000
1,Argentina,2021,24.0,7.758419,11.000000,64.0,66.456717,54.000000
2,Argentina,2020,42.0,14.954996,3.000000,92.0,89.290794,97.000000
3,Argentina,2020,47.0,21.000000,22.000000,83.0,83.000000,97.000000
4,Argentina,2021,30.0,12.000000,5.000000,89.0,87.000000,89.000000
5,Argentina,2021,44.0,12.962003,3.000000,77.0,76.627592,74.000000
6,Argentina,2021,59.0,20.000000,21.000000,87.0,87.000000,98.000000
7,Argentina,2021,22.0,8.868282,16.000000,68.0,70.317286,62.000000
8,Argentina,2020,46.0,15.832742,10.000000,87.0,85.846856,88.000000
9,Argentina,2021,43.0,15.449768,11.000000,89.0,87.682206,89.000000
10,Argentina,2020,16.0,10.000000,20.000000,87.0,87.000000,87.000000
11,Argentina,2020,20.0,10.202629,18.000000,79.0,79.878802,76.000000
12,Argentina,2020,28.0,11.000000,5.000000,73.0,73.000000,92.000000
13,Argentina,2021,16.0,12.000000,22.000000,86.0,86.000000,95.000000
14,Austria,2021,19.0,11.847908,19.349995,100.0,97.137727,95.844555
15,Austria,2021,19.0,12.000000,13.000000,94.0,99.000000,94.000000
16,Austria,2021,15.0,9.677234,10.000000,100.0,97.145957,96.000000
17,Austria,2021,15.0,13.959269,32.000000,66.0,97.066247,63.000000
18,Austria,2021,19.0,13.000000,17.000000,99.0,100.000000,96.000000
19,Austria,2021,16.0,11.000000,16.000000,99.0,99.000000,94.000000
20,Austria,2021,15.0,9.850179,25.000000,100.0,97.138124,96.000000
21,Austria,2020,15.0,9.933896,19.000000,99.0,97.138113,93.000000
22,Austria,2020,15.0,9.847565,14.770009,99.0,97.141563,95.215019
23,Austria,2020,15.0,9.723353,14.000000,100.0,97.143868,96.000000
24,Austria,2021,15.0,9.825376,14.000000,99.0,97.142405,96.000000
25,Austria,2021,15.0,12.000000,18.000000,96.0,99.000000,94.000000
26,Austria,2020,19.0,14.000000,17.000000,96.0,97.000000,94.000000
27,Austria,2021,19.0,11.841237,19.000000,100.0,97.137997,96.000000
28,Austria,2020,19.0,9.000000,13.000000,98.0,64.000000,94.000000
29,Austria,2020,15.0,9.873238,27.000000,100.0,97.137079,96.000000
30,Austria,2021,19.0,11.971747,20.000000,99.0,97.135451,95.000000
31,Austria,2021,15.0,9.899981,19.000000,99.0,97.139234,95.000000
32,Austria,2020,15.0,9.907827,30.000000,100.0,97.135513,96.000000
33,Austria,2021,15.0,9.825376,14.000000,99.0,97.142405,96.000000
34,Austria,2021,15.0,10.000000,27.000000,100.0,100.000000,96.000000
35,Austria,2021,15.0,9.784685,9.000000,99.0,97.144456,95.000000
36,Austria,2021,15.0,9.767728,9.000000,99.0,97.145016,96.000000
37,Austria,2020,15.0,9.000000,25.000000,98.0,100.000000,88.000000
